year,rank,title,gross
2023,1,Barbie,594254460
2023,2,The Super Mario Bros. Movie,574759600
2023,3,Spider-Man: Across the Spider-Verse,381178195
2023,4,Guardians of the Galaxy Vol. 3,358995815
2023,5,Oppenheimer,300144670
2022,1,Top Gun: Maverick,718732821
2022,2,Black Panther: Wakanda Forever,453829060
2022,3,Doctor Strange in the Multiverse of Madness,411331607
2022,4,Avatar: The Way of Water,684075767
2022,5,Jurassic World Dominion,376851080
2021,1,Spider-Man: No Way Home,804793477
2021,2,Shang-Chi and the Legend of the Ten Rings,224543292
2021,3,Venom: Let There Be Carnage,213550366
2021,4,Black Widow,183651655
2021,5,F9: The Fast Saga,173005945
2020,1,Bad Boys for Life,206305244
2020,2,1917,159227644
2020,3,Sonic the Hedgehog,148974665
2020,4,Jumanji: The Next Level,320314960
2020,5,Star Wars: Episode IX - The Rise of Skywalker,515202542
2019,1,Avengers: Endgame,858373000
2019,2,The Lion King,543638043
2019,3,Toy Story 4,434038008
2019,4,Frozen II,477373578
2019,5,Captain Marvel,426829839
2018,1,Black Panther,700059566
2018,2,Avengers: Infinity War,678815482
2018,3,Incredibles 2,608581744
2018,4,Jurassic World: Fallen Kingdom,417719760
2018,5,Deadpool 2,318491426
2017,1,Star Wars: Episode VIII - The Last Jedi,620181382
2017,2,Beauty and the Beast,504014165
2017,3,Wonder Woman,412563408
2017,4,Guardians of the Galaxy Vol. 2,389813101
2017,5,Spider-Man: Homecoming,334201140
2016,1,Finding Dory,486295561
2016,2,Rogue One: A Star Wars Story,532177324
2016,3,Captain America: Civil War,408084349
2016,4,The Secret Life of Pets,368384330
2016,5,The Jungle Book,364001123
2015,1,Jurassic World,652270625
2015,2,Star Wars: Episode VII - The Force Awakens,936662225
2015,3,Avengers: Age of Ultron,459005868
2015,4,Inside Out,356461711
2015,5,Furious 7,353007020
2014,1,Guardians of the Galaxy,333176600
2014,2,The Hunger Games: Mockingjay - Part 1,337135885
2014,3,Captain America: The Winter Soldier,259766572
2014,4,The Lego Movie,257760692
2014,5,Transformers: Age of Extinction,245439076
